Name,Address,Zipcode,Zip,City,County,State,Country,Timezone,Area Code
Region VII Community Counseling Servs,Victory House/PSR404 23rd Street NorthColumbus, MS 39701,39701,Columbus,Lowndes,Mississippi,US,America/Chicago,662
Magnolia Regional Health Center,Crossroads Mental Health Services611 Alcorn DriveCorinth, MS 38834,38834,Corinth,Alcorn,Mississippi,US,America/Chicago,"6,01,662"
Region IV Mental Health Services,601 Foote StreetCorinth, MS 38834,38834,Corinth,Alcorn,Mississippi,US,America/Chicago,"6,01,662"
Region X Weems CMHC,Newton County92 South 6th AvenueDecatur, MS 39327,39327,Decatur,Newton,Mississippi,US,America/Chicago,601
Jefferson County Hospital,870 Main StreetFayette, MS 39069,39069,Fayette,Jefferson,Mississippi,US,America/Chicago,601
SW MS Mental Health Complex,Jefferson County Office1555 North Main StreetFayette, MS 39069,39069,Fayette,Jefferson,Mississippi,US,America/Chicago,601
Shephearst Meadows LLC,200 Park Circle DriveSuite 2Flowood, MS 39232,39232,Flowood,Rankin,Mississippi,US,America/Chicago,601
SE Lackey Memorial Hospital,Behavioral Health330 North Broad StreetForest, MS 39074,39074,Forest,Scott,Mississippi,US,America/Chicago,"6,01,769"
A New Day Senior PSR,833 Washington AvenueGreenville, MS 38701,38701,Greenville,Washington,Mississippi,US,America/Chicago,662
Delta Regional Medical Center,Behavioral Health Unit300 South Washington AvenueGreenville, MS 38701,38701,Greenville,Washington,Mississippi,US,America/Chicago,662
Life Help,Elderly Day Program1654 East Union StreetGreenville, MS 38703,38703,Greenville,Washington,Mississippi,US,America/Chicago,662
Life Help,Region 61654 East Union StreetGreenville, MS 38701,38701,Greenville,Washington,Mississippi,US,America/Chicago,662
Greenwood Leflore Hospital,New Beginnings1401 River RoadGreenwood, MS 38930,38930,Greenwood,Leflore,Mississippi,US,America/Chicago,"6,62,601"
Life Help,2504 Old Browning RoadGreenwood, MS 38930,38930,Greenwood,Leflore,Mississippi,US,America/Chicago,"6,62,601"
Ray Tribble Senior Care Center,513 Brentwood AvenueGreenwood, MS 38930,38930,Greenwood,Leflore,Mississippi,US,America/Chicago,"6,62,601"
Grenada Crisis Stabilization Unit,Region VI Mental Health/Life Help1970 Grandview DriveGrenada, MS 38901,38901,Grenada,Grenada,Mississippi,US,America/Chicago,662
Life Help Mental Health Ctr/Region 6,Grenada County Office965 Springhill RoadGrenada, MS 38901,38901,Grenada,Grenada,Mississippi,US,America/Chicago,662
Canopy Childrens Solutions,South Region11975 Seaway RoadSuite A-230Gulfport, MS 39503,39503,Gulfport,Harrison,Mississippi,US,America/Chicago,228
Region XIII Gulf Coast MH Center,1600 Broad AvenueGulfport, MS 39501,39501,Gulfport,Harrison,Mississippi,US,America/Chicago,228
Specialized Treatment Facility,14426 James Bond RoadGulfport, MS 39503,39503,Gulfport,Harrison,Mississippi,US,America/Chicago,228
Canopy Childrens Solutions,906 McInnis AvenueHattiesburg, MS 39401,39401,Hattiesburg,Forrest,Mississippi,US,America/Chicago,"6,01,769"
Canopy Childrens Solutions,South Central Region105 Asbury CircleSuite AHattiesburg, MS 39402,39402,Hattiesburg,Lamar,Mississippi,US,America/Chicago,601
Pine Belt Mental Health Resources,Regional Office/Region XII103 South 19th AvenueHattiesburg, MS 39401,39401,Hattiesburg,Forrest,Mississippi,US,America/Chicago,"6,01,769"
Pine Grove BH and Addiction Services,1 Lincoln ParkwaySuite 202Hattiesburg, MS 39402,39402,Hattiesburg,Lamar,Mississippi,US,America/Chicago,601
Pine Grove BH and Addiction Services,2255 Broadway DriveHattiesburg, MS 39402,39402,Hattiesburg,Lamar,Mississippi,US,America/Chicago,601
Twin Oaks Senior Center,701 West Pine StreetHattiesburg, MS 39401,39401,Hattiesburg,Forrest,Mississippi,US,America/Chicago,"6,01,769"
Hardy Wilson Memorial Hospital,233 Magnolia StreetHazlehurst, MS 39083,39083,Hazlehurst,Copiah,Mississippi,US,America/Chicago,601
Region 8 Mental Health Services,Copiah County Satellite Office1019 Carroll DriveHazlehurst, MS 39083,39083,Hazlehurst,Copiah,Mississippi,US,America/Chicago,601
Region IV Mental Health Child Services,Desoto County2705 Highway 51 SouthHernando, MS 38632,38632,Hernando,DeSoto,Mississippi,US,America/Chicago,662
Alliance Healthcare System,1430 Highway 4 EastHolly Springs, MS 38635,38635,Holly Springs,Marshall,Mississippi,US,America/Chicago,662
Communicare,Holly Springs820 Highway 178 EastHolly Springs, MS 38635,38635,Holly Springs,Marshall,Mississippi,US,America/Chicago,662
Lifecore Health Group,Chickasaw County223 East Washington StreetHouston, MS 38851,38851,Houston,Chickasaw,Mississippi,US,America/Chicago,662
Trace Regional Geriatric Psych Unit,1002 East Madison StreetHouston, MS 38851,38851,Houston,Chickasaw,Mississippi,US,America/Chicago,662
Life Help Mental Health Ctr/Region 6,Indianola Office/Sunflower County200 East Baker StreetIndianola, MS 38751,38751,Indianola,Sunflower,Mississippi,US,America/Chicago,662
Timber Hills,Tishomingo County1213 Maria LaneIuka, MS 38852,38852,Iuka,Tishomingo,Mississippi,US,America/Chicago,662
Baptist Behavioral Health Servs HS,1225 North State StreetJackson, MS 39202,39202,Jackson,Hinds,Mississippi,US,America/Chicago,601
CARES Center and,CARES School402 Wesley AvenueJackson, MS 39202,39202,Jackson,Hinds,Mississippi,US,America/Chicago,601
Canopy Childrens Solutions,1465 Lakeland DriveJackson, MS 39202,39202,Jackson,Hinds,Mississippi,US,America/Chicago,601
Canopy Childrens Solutions,2001 NW StreetSuite AJackson, MS 39202,39202,Jackson,Hinds,Mississippi,US,America/Chicago,601
Catholic Charities Inc,200 North Congress StreetSuite 100Jackson, MS 39201,39201,Jackson,Hinds,Mississippi,US,America/Chicago,601
Catholic Charities Inc,Hope Haven753 North Congress StreetJackson, MS 39202,39202,Jackson,Hinds,Mississippi,US,America/Chicago,601
Hinds Behavioral Health Services,Region 9 Comm Mental Health Center3450 Highway 80 WestJackson, MS 39209,39209,Jackson,Hinds,Mississippi,US,America/Chicago,601
Imagine Behavioral Health LLC,1855 Lakeland DriveRoom 305Jackson, MS 39216,39216,Jackson,Hinds,Mississippi,US,America/Chicago,601
Jackson VAMC GV Sonny Montgomery,Mental Health Service1500 East Woodrow Wilson AvenueJackson, MS 39216,39216,Jackson,Hinds,Mississippi,US,America/Chicago,601
Jefferson County Hospital,4755 McWillie DriveJackson, MS 39205,39205,Jackson,Hinds,Mississippi,US,America/Chicago,601
Marion Counseling Services PLLC,460 Briarwood DriveSuite 510Jackson, MS 39206,39206,Jackson,Hinds,Mississippi,US,America/Chicago,601
Merit Health Central,Behavioral Health Unit1850 Chadwick DriveJackson, MS 39204,39204,Jackson,Hinds,Mississippi,US,America/Chicago,601
Saint Dominic/Jackson Memorial Hosp,Behavioral Health Services969 Lakeland DriveJackson, MS 39216,39216,Jackson,Hinds,Mississippi,US,America/Chicago,601
University of Mississippi,Medical Center2500 North State StreetJackson, MS 39216,39216,Jackson,Hinds,Mississippi,US,America/Chicago,601
Life Help Mental Health Ctr/Region 6,Kosciusko Office/Attala County314 South Huntington StreetKosciusko, MS 39090,39090,Kosciusko,Attala,Mississippi,US,America/Chicago,"6,62,601"
Pine Belt Mental Healthcare Resources,934 West DriveLaurel, MS 39440,39440,Laurel,Jones,Mississippi,US,America/Chicago,601
Region XII Pine Belt MH,Greene County Mental Health Center1501 Lackey StreetLeakesville, MS 39451,39451,Leakesville,Greene,Mississippi,US,America/Chicago,601
Life Help Mental Health Ctr/Region 6,Lexington Office/Holmes County328 Depot StreetLexington, MS 39095,39095,Lexington,Holmes,Mississippi,US,America/Chicago,662
Brighter Days II,511 East Main StreetLouisville, MS 39339,39339,Louisville,Winston,Mississippi,US,America/Chicago,662
Region VII Community Counseling Servs,Winston County Office507 West Main StreetLouisville, MS 39339,39339,Louisville,Winston,Mississippi,US,America/Chicago,662
Winston Medical Center,562 East Main StreetLouisville, MS 39339,39339,Louisville,Winston,Mississippi,US,America/Chicago,662
Region XIV Singing River Services,Lucedale Office57 Industrial Park RoadLucedale, MS 39452,39452,Lucedale,Jackson,Mississippi,US,America/Chicago,"6,01,228"
Singing River Mental Health Services,101 Industrial Park RoadSuite BLucedale, MS 39452,39452,Lucedale,Jackson,Mississippi,US,America/Chicago,"6,01,228"
Region VII Community Counseling Servs,Noxubee County Office43 West Dr Martin Luther King Jr DriveMacon, MS 39341,39341,Macon,Noxubee,Mississippi,US,America/Chicago,662
Millcreek of Magee Behav Healthcare,900 1st Avenue NEMagee, MS 39111,39111,Magee,Simpson,Mississippi,US,America/Chicago,601
Region I Mental Health Center,Quitman County Office400 Locust StreetMarks, MS 38646,38646,Marks,Quitman,Mississippi,US,America/Chicago,662
Hospitality PSR Program,534 West Michigan AvenueMcComb, MS 39648,39648,Mccomb,Pike,Mississippi,US,America/Chicago,"6,01,769"
New Directions PSR,304 Kendall StreetMcComb, MS 39648,39648,Mccomb,Pike,Mississippi,US,America/Chicago,"6,01,769"
Region XI Southwest MS,Childrens Services/IMPACT Program140 North 5th StreetMcComb, MS 39648,39648,Mccomb,Pike,Mississippi,US,America/Chicago,"6,01,769"
Region XI Southwest MS Mental Health,Pike County Lifeskills Center651 South Broadway StreetMcComb, MS 39648,39648,Mccomb,Pike,Mississippi,US,America/Chicago,"6,01,769"
Southwest MS Mental Health Complex,1701 White StreetMcComb, MS 39648,39648,Mccomb,Pike,Mississippi,US,America/Chicago,"6,01,769"
Region XI Southwest MS,Franklin County MH Center47 Main Street EastMeadville, MS 39653,39653,Meadville,Franklin,Mississippi,US,America/Chicago,601
Region 8 Mental Health Services,Simpson County Satellite Office3087 Simpson Highway 13Mendenhall, MS 39114,39114,Mendenhall,Simpson,Mississippi,US,America/Chicago,601
East Mississippi State Hospital,1818 College Park DriveMeridian, MS 39307,39307,Meridian,Lauderdale,Mississippi,US,America/Chicago,601
Region X Weems CMHC,1415 College DriveMeridian, MS 39307,39307,Meridian,Lauderdale,Mississippi,US,America/Chicago,601
Weems Community Mental Health Center,Children and Youth Services1929 23rd AvenueMeridian, MS 39304,39304,Meridian,Lauderdale,Mississippi,US,America/Chicago,601
Weems Mental Health Adult Services,1415 College DriveMeridian, MS 39304,39304,Meridian,Lauderdale,Mississippi,US,America/Chicago,601
Merit Health of Natchez,Behavioral Health Unit54 Seargent Prentiss Drive3rd FloorNatchez, MS 39120,39120,Natchez,Adams,Mississippi,US,America/Chicago,"6,01,769"
Region XI Southwest MS,Adams County MH Center200 South Wall StreetNatchez, MS 39120,39120,Natchez,Adams,Mississippi,US,America/Chicago,"6,01,769"
River Place Psychosocial Rehab,217 OFerral AlleyNatchez, MS 39120,39120,Natchez,Adams,Mississippi,US,America/Chicago,"6,01,769"
Central Mississippi Residential Center,701 Northside DriveNewton, MS 39345,39345,Newton,Newton,Mississippi,US,America/Chicago,601
Newton Crisis Stabilization Center,Central Mississippi Residential Center700 Northside DriveNewton, MS 39345,39345,Newton,Newton,Mississippi,US,America/Chicago,601
Parkwood Behavioral Health System,8135 Goodman RoadOlive Branch, MS 38654,38654,Olive Branch,DeSoto,Mississippi,US,America/Chicago,"6,62,901"
Communicare,152 Highway 7 SouthOxford, MS 38655,38655,Oxford,Lafayette,Mississippi,US,America/Chicago,662
Singing River Health System,2809 Denny AvenuePascagoula, MS 39581,39581,Pascagoula,Jackson,Mississippi,US,America/Chicago,228
Neshoba County General Hospital,1001 Holland AvenuePhiladelphia, MS 39350,39350,Philadelphia,Neshoba,Mississippi,US,America/Chicago,"60,16,62,769"
Region X Weems CMHC,Neshoba County1011 Posey AvenuePhiladelphia, MS 39350,39350,Philadelphia,Neshoba,Mississippi,US,America/Chicago,"60,16,62,769"
Picayune,, MS 39466,39466,Picayune,Pearl River,Mississippi,US,America/Chicago,"60,12,28,769"
Region XIII Gulf Coast MH Center,Pearl River County Office211 Highway 11 SouthPicayune, MS 39466,39466,Picayune,Pearl River,Mississippi,US,America/Chicago,"60,12,28,769"
Millcreek of Pontotoc,1814 Highway 15 NorthPontotoc, MS 38863,38863,Pontotoc,Pontotoc,Mississippi,US,America/Chicago,662
Region III Mental Health Center,Pontotoc County339 Legion LanePontotoc, MS 38863,38863,Pontotoc,Pontotoc,Mississippi,US,America/Chicago,662
Claiborne County Hospital,Geri/Psych/Intensive OP Unit123 McComb AvenuePort Gibson, MS 39150,39150,Port Gibson,Claiborne,Mississippi,US,America/Chicago,601
Region XI Southwest MS,Claiborne County Mental Health2090 Highway 61 NorthPort Gibson, MS 39150,39150,Port Gibson,Claiborne,Mississippi,US,America/Chicago,601
Jefferson Davis Community Hospital,Psych Unit1102 Rose StreetPrentiss, MS 39474,39474,Prentiss,Jefferson Davis,Mississippi,US,America/Chicago,601
Region XII Pine Belt MH,Lamar County Mental Health Center805 Highway 589Purvis, MS 39475,39475,Purvis,Lamar,Mississippi,US,America/Chicago,"6,01,769"
Region X Weems CMHC,Clarke County Office102 Park PlaceQuitman, MS 39355,39355,Quitman,Clarke,Mississippi,US,America/Chicago,601
Region X Weems CMHC,Smith County355 Highway 37Raleigh, MS 39153,39153,Raleigh,Smith,Mississippi,US,America/Chicago,601
Region XII Pine Belt MH,Perry County Mental Health Center91180 Highway 42Richton, MS 39476,39476,Richton,Perry,Mississippi,US,America/Chicago,601
Innovative Behavioral Services Inc,357 Towne Center BoulevardSuite 100Ridgeland, MS 39157,39157,Ridgeland,Madison,Mississippi,US,America/Chicago,601
Three Oaks Behavioral Health of,Ridgeland LLC408 Fontaine PlaceSuite 101Ridgeland, MS 39157,39157,Ridgeland,Madison,Mississippi,US,America/Chicago,601
Region IV Mental Health Services,Tippah County Office2441 County Road 501Suite ARipley, MS 38663,38663,Ripley,Tippah,Mississippi,US,America/Chicago,662
Great Generation,317 West Race StreetRolling Fork, MS 39159,39159,Rolling Fork,Sharkey,Mississippi,US,America/Chicago,662
Region VI Life Help Community,Mental Health Services317 West Race StreetRolling Fork, MS 39159,39159,Rolling Fork,Sharkey,Mississippi,US,America/Chicago,662
Sharkey Issaquena Community Hospital,47 South 4th StreetRolling Fork, MS 39159,39159,Rolling Fork,Sharkey,Mississippi,US,America/Chicago,662
North Sunflower Medical Center,840 North Oak AvenueRuleville, MS 38771,38771,Ruleville,Sunflower,Mississippi,US,America/Chicago,662
Communicare,Sardis100 East Frontage RoadSardis, MS 38666,38666,Sardis,Panola,Mississippi,US,America/Chicago,662
28281 Road 401,Saucier, MS 39574,39574,Saucier,Harrison,Mississippi,US,America/Chicago,228
Communicare,Senatobia101 Preston McKay DriveSenatobia, MS 38668,38668,Senatobia,Tate,Mississippi,US,America/Chicago,662
North Oak Regional Medical Center,Behavioral Health401 Getwell DriveSenatobia, MS 38668,38668,Senatobia,Tate,Mississippi,US,America/Chicago,662
Canopy Childrens Solutions,Satellite Office501 Highway 12 WestSuite 180Starkville, MS 39759,39759,Starkville,Oktibbeha,Mississippi,US,America/Chicago,662
Millcreek of Starkville,708 Taylor StreetSuite AStarkville, MS 39759,39759,Starkville,Oktibbeha,Mississippi,US,America/Chicago,662
Region VII Community Counseling Servs,Starkville Day Services Adults682 Collier RoadStarkville, MS 39759,39759,Starkville,Oktibbeha,Mississippi,US,America/Chicago,662
Region VII Community Counseling Servs,Starkville PSR220 North Jackson StreetSuite BStarkville, MS 39759,39759,Starkville,Oktibbeha,Mississippi,US,America/Chicago,662
Region I Mental Health Center,Tunica County Office1459 Main StreetTunica, MS 38676,38676,Tunica,Tunica,Mississippi,US,America/Chicago,662
Canopy Childrens Solutions,254 South Front StreetSuite 104Tupelo, MS 38804,38804,Tupelo,Lee,Mississippi,US,America/Chicago,662
Lifecore Health Group,2434 South Eason BoulevardTupelo, MS 38804,38804,Tupelo,Lee,Mississippi,US,America/Chicago,662
NMMC Behavioral Health Center,4579 South Eason BoulevardTupelo, MS 38801,38801,Tupelo,Lee,Mississippi,US,America/Chicago,662
Region XI Southwest MS,Walthall County MH Center219 Ball AvenueTylertown, MS 39667,39667,Tylertown,Walthall,Mississippi,US,America/Chicago,601
Region XV Warren/Yazoo MH Services,Elderly Day Treatment3527 Manor DriveVicksburg, MS 39180,39180,Vicksburg,Warren,Mississippi,US,America/Chicago,"6,01,769"
Communicare,Water Valley214 Frostland DriveWater Valley, MS 38965,38965,Water Valley,Yalobusha,Mississippi,US,America/Chicago,662
Region XII Pine Belt MH,Wayne County Mental Health Center1104 Cedar StreetSuite BWaynesboro, MS 39367,39367,Waynesboro,Wayne,Mississippi,US,America/Chicago,601
Lindys Place,99 West Jordan AvenueWest Point, MS 39773,39773,West Point,Clay,Mississippi,US,America/Chicago,662
Mississippi State Hospital,3550 Highway 468 WestWhitfield, MS 39193,39193,Whitfield,Rankin,Mississippi,US,America/Chicago,601
Region XIII Gulf Coast Mental Hlth Ctr,Stone County Office200 Coastal Paper AvenueWiggins, MS 39577,39577,Wiggins,Stone,Mississippi,US,America/Chicago,601
Life Help Mental Health Ctr/Region 6,Winona Office/Montgomery County718 Alberta DriveWinona, MS 38967,38967,Winona,Montgomery,Mississippi,US,America/Chicago,662
Region XI Southwest MS,Wilkinson County MH Center1495 U.S. Highway 61 SouthWoodville, MS 39669,39669,Woodville,Wilkinson,Mississippi,US,America/Chicago,601
Comtrea Community Treatment Inc,21 Municipal DriveArnold, MO 63010,63010,Arnold,Jefferson,Missouri,US,America/Chicago,"6,36,314"
Catholic Family Services,498 Woods Mill RoadBallwin, MO 63011,63011,Ballwin,St. Louis,Missouri,US,America/Chicago,"3,14,636"
North Central MO Mental Health Center,4114 Miller StreetBethany, MO 64424,64424,Bethany,Harrison,Missouri,US,America/Chicago,660
Bootheel Counseling Services,Stoddard County Branch Office1017 Highway 25 NorthBloomfield, MO 63825,63825,Bloomfield,Stoddard,Missouri,US,America/Chicago,573
Burrell Behavioral Health,Bolivar Outpatient Satellite315 South Maine StreetBolivar, MO 65613,65613,Bolivar,Polk,Missouri,US,America/Chicago,417
Citizens Memorial Hospital,Parkview Geriatric Wellness Center1500 North Oakland AvenueBolivar, MO 65613,65613,Bolivar,Polk,Missouri,US,America/Chicago,417
Burrell Behavioral Health,Boonville Clinic520 Ryan StreetSuite WBoonville, MO 65233,65233,Boonville,Cooper,Missouri,US,America/Chicago,"6,60,816"
Cox Medical Center,525 Branson Landing BoulevardBranson, MO 65616,65616,Branson,Taney,Missouri,US,America/Chicago,417
BJC Behavioral Health/North Division,3165 McKelvey RoadSuite 200Bridgeton, MO 63044,63044,Bridgeton,St. Louis,Missouri,US,America/Chicago,"3,14,636"
SSM DePaul Health Center,12303 De Paul DriveBridgeton, MO 63044,63044,Bridgeton,St. Louis,Missouri,US,America/Chicago,"3,14,636"
North Central MO Mental Health Center,1102 West Helm StreetBrookfield, MO 64628,64628,Brookfield,Linn,Missouri,US,America/Chicago,660
Pathways Comm Behav Healthcare Inc,Butler Office205 East Dakota StreetButler, MO 64730,64730,Butler,Bates,Missouri,US,America/Chicago,660
Pathways CBH Inc,Camdenton Office741 North Business Route 5Camdenton, MO 65020,65020,Camdenton,Camden,Missouri,US,America/Chicago,573
Cameron Regional Medical Center,Monarch Behavioral Health Unit1600 East Evergreen StreetCameron, MO 64429,64429,Cameron,Caldwell,Missouri,US,America/Chicago,816
Family Guidance Center for,Behavioral Healthcare101 West 3rd StreetCameron, MO 64429,64429,Cameron,Caldwell,Missouri,US,America/Chicago,816
Community Counseling Center,Lou Masterman Center341 North Main StreetCape Girardeau, MO 63701,63701,Cape Girardeau,Cape Girardeau,Missouri,US,America/Chicago,573
New Vision Counseling,619 North Broadview StreetCape Girardeau, MO 63701,63701,Cape Girardeau,Cape Girardeau,Missouri,US,America/Chicago,573
Burrell Behavioral Health,Carrollton Clinic305 North Mason StreetCarrollton, MO 64633,64633,Carrollton,Carroll,Missouri,US,America/Chicago,660
Carroll County Memorial Hospital,1502 North Jefferson StreetCarrollton, MO 64633,64633,Carrollton,Carroll,Missouri,US,America/Chicago,660
Ozark Center,Carthage Clinic1632 Missouri AvenueCarthage, MO 64836,64836,Carthage,Jasper,Missouri,US,America/Chicago,417
Saint Louis Behav Medicine Institute,16216 Baxter RoadSuite 399Chesterfield, MO 63017,63017,Chesterfield,St. Louis,Missouri,US,America/Chicago,"3,14,636"
North Central MO Mental Health Center,401 Youssef DriveChillicothe, MO 64601,64601,Chillicothe,Livingston,Missouri,US,America/Chicago,660
Pathways Comm Behav Healthcare Inc,Outpatient1800 Community DriveClinton, MO 64735,64735,Clinton,Henry,Missouri,US,America/Chicago,660
Pathways Comm Behav Healthcare Inc,Residential1800 Community DriveClinton, MO 64735,64735,Clinton,Henry,Missouri,US,America/Chicago,660
Burrell Behavioral Health,3401 Berrywood DriveSuite 204Columbia, MO 65201,65201,Columbia,Boone,Missouri,US,America/Chicago,"5,73,314"
Burrell Behavioral Health,Berrywood Child and Adolescent Clinic3401 Berrywood DriveSuite 104Columbia, MO 65202,65202,Columbia,Boone,Missouri,US,America/Chicago,573
Burrell Central Region,Stephens Lake Adult Clinic1805 East Walnut StreetColumbia, MO 65201,65201,Columbia,Boone,Missouri,US,America/Chicago,"5,73,314"
Great Circle,4304 South Bearfield RoadColumbia, MO 65201,65201,Columbia,Boone,Missouri,US,America/Chicago,"5,73,314"
New Horizons Community Support Servs,1408 Hathman PlaceColumbia, MO 65201,65201,Columbia,Boone,Missouri,US,America/Chicago,"5,73,314"
Pathways Comm Behav Healthcare Inc,Cuba Office1019 Westside DriveCuba, MO 65453,65453,Cuba,Crawford,Missouri,US,America/Chicago,573
Pathways Comm Behav Healthcare Inc,El Dorado Springs Office107 West Broadway StreetEl Dorado Springs, MO 64744,64744,El Dorado Springs,Cedar,Missouri,US,America/Chicago,417
Southwest Missouri Psych Rehab,1301 Industrial Parkway EastEl Dorado Springs, MO 64744,64744,El Dorado Springs,Cedar,Missouri,US,America/Chicago,417
Pathways Comm Behav Healthcare Inc,Eldon Office206 South Mill StreetSuite 1Eldon, MO 65026,65026,Eldon,Miller,Missouri,US,America/Chicago,573
BJC Behavioral Health Southeast Site,1085 Maple StreetFarmington, MO 63640,63640,Farmington,St. Francois,Missouri,US,America/Chicago,"5,73,314"
Mineral Area CPRC Inc,560 West Pine StreetFarmington, MO 63640,63640,Farmington,St. Francois,Missouri,US,America/Chicago,"5,73,314"
Parkland Health Center,1101 West Liberty StreetFarmington, MO 63640,63640,Farmington,St. Francois,Missouri,US,America/Chicago,"5,73,314"
Presbyterian Childrens Services,Farmington Childrens Home608 Pine StreetFarmington, MO 63640,63640,Farmington,St. Francois,Missouri,US,America/Chicago,"5,73,314"
Southeast Missouri Behavioral Health,Treatment Center1565 Saint Genevieve AvenueFarmington, MO 63640,63640,Farmington,St. Francois,Missouri,US,America/Chicago,"5,73,314"
Catholic Family Services,1385 Harkee DriveFlorissant, MO 63031,63031,Florissant,St. Louis,Missouri,US,America/Chicago,314
Marygrove,2705 Mullanphy LaneFlorissant, MO 63031,63031,Florissant,St. Louis,Missouri,US,America/Chicago,314
Fulton Medical Center,Kingdom Senior Solutions10 South Hospital DriveFulton, MO 65251,65251,Fulton,Callaway,Missouri,US,America/Chicago,573
Fulton State Hospital,Mental Health Treatment Services600 East 5th StreetFulton, MO 65251,65251,Fulton,Callaway,Missouri,US,America/Chicago,573
Options Unlimited of Fulton,5060 County Road 306Fulton, MO 65251,65251,Fulton,Callaway,Missouri,US,America/Chicago,573
Mark Twain Behavioral Health,917 Broadway StreetHannibal, MO 63401,63401,Hannibal,Marion,Missouri,US,America/Chicago,573
Cass Regional Medical Center,Sage Behavioral Health2800 East Rock Haven RoadHarrisonville, MO 64701,64701,Harrisonville,Cass,Missouri,US,America/Chicago,816
Pathways Comm Behav Healthcare Inc,Harrisonville Office300 Galaxie AvenueHarrisonville, MO 64701,64701,Harrisonville,Cass,Missouri,US,America/Chicago,816
Pemiscot Memorial Health Systems,946 East Reed StreetHayti, MO 63851,63851,Hayti,Pemiscot,Missouri,US,America/Chicago,573
Comtrea Community Treatment Inc,1817 Gravois RoadHigh Ridge, MO 63049,63049,High Ridge,Jefferson,Missouri,US,America/Chicago,"3,14,636"
Burrell Behavioral Health,Hollister Outpatient Satellite33 Gage DriveSuite 100Hollister, MO 65672,65672,Hollister,Taney,Missouri,US,America/Chicago,417
Comprehensive Mental Health Services,17844 East 23rd StreetIndependence, MO 64057,64057,Independence,Jackson,Missouri,US,America/Chicago,816
Family Conservancy,3737 South Elizabeth StreetSuite 100Independence, MO 64057,64057,Independence,Jackson,Missouri,US,America/Chicago,816
New Horizons Community,Support Services Inc2013 William StreetJefferson City, MO 65109,65109,Jefferson City,Cole,Missouri,US,America/Chicago,"5,73,314"
Pathways Comm Behav Healthcare Inc,Jefferson City Office227 Metro DriveJefferson City, MO 65109,65109,Jefferson City,Cole,Missouri,US,America/Chicago,"5,73,314"
SSM Saint Marys Hospital,Behavioral Health Unit2505 Mission DriveJefferson City, MO 65109,65109,Jefferson City,Cole,Missouri,US,America/Chicago,"5,73,314"
Transitional Residential Facility,3016 Dupont CircleJefferson City, MO 65109,65109,Jefferson City,Cole,Missouri,US,America/Chicago,"5,73,314"
Truman Boulevard Clinic,3400 West Truman BoulevardJefferson City, MO 65109,65109,Jefferson City,Cole,Missouri,US,America/Chicago,"5,73,314"
Freeman Health System/Freeman East,Behavioral Health Services932 East 34th StreetJoplin, MO 64804,64804,Joplin,Jasper,Missouri,US,America/Chicago,417
Ozark Center,Freeman Medical Plaza II530 East 34th StreetJoplin, MO 64804,64804,Joplin,Jasper,Missouri,US,America/Chicago,417
Ozark Center,Turnaround Ranch1949 Snowberry LaneJoplin, MO 64804,64804,Joplin,Jasper,Missouri,US,America/Chicago,417
Ozark Center,Wills Place1800 West 30th StreetJoplin, MO 64804,64804,Joplin,Jasper,Missouri,US,America/Chicago,417
Ozark Center/Community Care Program,Adult Community Services3220 Wisconsin AvenueJoplin, MO 64804,64804,Joplin,Jasper,Missouri,US,America/Chicago,417
Childrens Center,2501 NE 46th StreetKansas City, MO 64116,64116,Kansas City,Clay,Missouri,US,America/Chicago,816
Crittenton Childrens Center,10918 Elm AvenueKansas City, MO 64134,64134,Kansas City,Jackson,Missouri,US,America/Chicago,816
Gillis,8150 Wornall RoadKansas City, MO 64114,64114,Kansas City,Jackson,Missouri,US,America/Chicago,816
Kansas City VAMC,Mental Health (116A)4801 East Linwood BoulevardKansas City, MO 64128,64128,Kansas City,Jackson,Missouri,US,America/Chicago,816
Niles Home for Children,1911 East 23rd StreetKansas City, MO 64127,64127,Kansas City,Jackson,Missouri,US,America/Chicago,816
Ozanam,421 East 137th StreetKansas City, MO 64145,64145,Kansas City,Jackson,Missouri,US,America/Chicago,816
Research Psychiatric Center,HCA Midwest Hospital2323 East 63rd StreetKansas City, MO 64130,64130,Kansas City,Jackson,Missouri,US,America/Chicago,816
Rodgers Health,Behavioral Health825 Euclid AvenueKansas City, MO 64124,64124,Kansas City,Jackson,Missouri,US,America/Chicago,816
AH F4 SP,Signature Psychiatric Hospital2900 Clay Edwards DriveKansas City, MO 64116,64116,Kansas City,Clay,Missouri,US,America/Chicago,816
Spofford Home,9700 Grandview RoadKansas City, MO 64137,64137,Kansas City,Jackson,Missouri,US,America/Chicago,816
Swope Health Services,Swope Behavioral Health Services3801 Blue ParkwayKansas City, MO 64130,64130,Kansas City,Jackson,Missouri,US,America/Chicago,816
Synergy Services,Youth Campus2005 NE Parvin RoadKansas City, MO 64116,64116,Kansas City,Clay,Missouri,US,America/Chicago,816
Synergy Services Inc,400 East 6th StreetKansas City, MO 64152,64152,Kansas City,Platte,Missouri,US,America/Chicago,"8,16,913"
Tri County Mental Health Services,Main Office3100 NE 83rd StreetSuite 1001Kansas City, MO 64119,64119,Kansas City,Clay,Missouri,US,America/Chicago,816
